;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Receita total prevista do Fundeb 2026 - Portaria Interministerial nº 14, de 29 de Dezembro de 2025;;;;;;;;;;;;
;;;;;;;;;;;;
UF;"Código
IBGE";Entidade;Receita da contribuição de estados e municípios ao Fundeb;Complementação VAAF;Complementação VAAT;Complementação VAAR;Complementação da União Total;Total das receitas previstas;;;;
AC;1200013;ACRELANDIA; 18.502.193,40 ; -   ; 2.414.802,26 ; -   ; 2.414.802,26 ; 20.916.995,66 ;;;;
AC;1200054;ASSIS BRASIL; 12.713.692,99 ; -   ; 1.893.458,75 ; 995.669,36 ; 2.889.128,11 ; 15.602.821,10 ;;;;
AC;1200104;BRASILEIA; 32.382.755,84 ; -   ; 8.067.731,51 ; -   ; 8.067.731,51 ; 40.450.487,35 ;;;;
AC;1200138;BUJARI; 17.771.469,18 ; -   ; 7.059.361,50 ; -   ; 7.059.361,50 ; 24.830.830,68 ;;;;
AC;1200179;CAPIXABA; 17.981.062,37 ; -   ; 2.207.975,63 ; -   ; 2.207.975,63 ; 20.189.038,00 ;;;;
AC;1200203;CRUZEIRO DO SUL; 122.531.753,97 ; -   ; 36.784.673,02 ; -   ; 36.784.673,02 ; 159.316.426,99 ;;;;
AC;1200252;EPITACIOLANDIA; 26.977.670,56 ; -   ; 8.810.533,77 ; 995.104,57 ; 9.805.638,34 ; 36.783.308,90 ;;;;
AC;1200302;FEIJO; 49.002.278,47 ; -   ; 23.532.821,64 ; -   ; 23.532.821,64 ; 72.535.100,11 ;;;;
AC;1200328;JORDAO; 28.896.053,73 ; -   ; 4.657.658,54 ; 1.788.853,27 ; 6.446.511,81 ; 35.342.565,54 ;;;;
AC;1200336;MANCIO LIMA; 30.449.519,36 ; -   ; 8.070.728,80 ; -   ; 8.070.728,80 ; 38.520.248,16 ;;;;
AC;1200344;MANOEL URBANO; 23.046.317,53 ; -   ; 5.938.561,09 ; -   ; 5.938.561,09 ; 28.984.878,62 ;;;;
AC;1200351;MARECHAL THAUMATURGO; 45.846.747,83 ; -   ; 5.411.238,45 ; -   ; 5.411.238,45 ; 51.257.986,28 ;;;;
AC;1200385;PLACIDO DE CASTRO; 19.970.870,22 ; -   ; 3.049.419,97 ; -   ; 3.049.419,97 ; 23.020.290,19 ;;;;
AC;1200807;PORTO ACRE; 27.507.114,93 ; -   ; 12.322.202,99 ; -   ; 12.322.202,99 ; 39.829.317,92 ;;;;
AC;1200393;PORTO WALTER; 25.182.111,36 ; -   ; -   ; -   ; -   ; 25.182.111,36 ;;;;
AC;1200401;RIO BRANCO; 212.101.076,55 ; -   ; -   ; -   ; -   ; 212.101.076,55 ;;;;
AC;1200427;RODRIGUES ALVES; 34.507.156,27 ; -   ; -   ; 2.448.082,72 ; 2.448.082,72 ; 36.955.238,99 ;;;;
AC;1200435;SANTA ROSA DO PURUS; 19.364.635,09 ; -   ; 1.611.612,57 ; 1.258.377,90 ; 2.869.990,47 ; 22.234.625,56 ;;;;
AC;1200500;SENA MADUREIRA; 51.037.726,64 ; -   ; 8.298.509,53 ; -   ; 8.298.509,53 ; 59.336.236,17 ;;;;
AC;1200450;SENADOR GUIOMARD; 21.604.058,01 ; -   ; 5.055.441,91 ; -   ; 5.055.441,91 ; 26.659.499,92 ;;;;
AC;1200609;TARAUACA; 71.112.823,44 ; -   ; 20.340.321,77 ; 2.618.238,54 ; 22.958.560,31 ; 94.071.383,75 ;;;;
AC;1200708;XAPURI; 17.445.707,65 ; -   ; 6.206.467,69 ; 1.363.301,97 ; 7.569.769,66 ; 25.015.477,31 ;;;;
AC;12;GOVERNO DO ESTADO; 1.495.329.066,37 ; -   ; -   ; -   ; -   ; 1.495.329.066,37 ;;;;
AL;2700102;AGUA BRANCA; 35.539.169,52 ; 8.008.491,09 ; 18.418.226,14 ; 3.431.552,81 ; 29.858.270,04 ; 65.397.439,56 ;;;;
AL;2700201;ANADIA; 23.003.420,17 ; 5.183.651,95 ; 15.599.373,79 ; -   ; 20.783.025,74 ; 43.786.445,91 ;;;;
AL;2700300;ARAPIRACA; 215.033.636,81 ; 48.456.252,29 ; 122.655.599,21 ; -   ; 171.111.851,50 ; 386.145.488,31 ;;;;
AL;2700409;ATALAIA; 59.066.720,97 ; 13.310.252,18 ; 29.148.966,69 ; 5.771.187,52 ; 48.230.406,39 ; 107.297.127,36 ;;;;
AL;2700508;BARRA DE SANTO ANTONIO; 24.167.147,14 ; 5.445.889,29 ; 11.230.179,03 ; 1.006.333,01 ; 17.682.401,33 ; 41.849.548,47 ;;;;
AL;2700607;BARRA DE SAO MIGUEL; 14.258.572,08 ; 3.213.064,60 ; 2.323.346,97 ; 1.396.654,07 ; 6.933.065,64 ; 21.191.637,72 ;;;;
